Country,Region,World Group
Aruba,Latin America & the Caribbean,Developing
Belize,Latin America & the Caribbean,Developing
Botswana,Sub-Saharan Africa,Developing
Costa Rica,Latin America & the Caribbean,Developing
Democratic People's Republic of Korea,Eastern Asia,Developing
Ecuador,Latin America & the Caribbean,Developing
United Republic of Tanzania,Sub-Saharan Africa,Developing
Western Sahara,Northern Africa,Developing
Afghanistan,Southern Asia,Developing
Albania,Developed,DEVELOPED
Algeria,Northern Africa,Developing
American Samoa,Oceania,Developing
Andorra,Developed,DEVELOPED
Angola,Sub-Saharan Africa,Developing
Anguilla,Latin America & the Caribbean,Developing
Antigua and Barbuda,Latin America & the Caribbean,Developing
Argentina,Latin America & the Caribbean,Developing
Armenia,Caucasus and central Asia,Developing
Australia,Developed,DEVELOPED
Austria,Developed,DEVELOPED
Azerbaijan,Caucasus and central Asia,Developing
Bahamas,Latin America & the Caribbean,Developing
Bahrain,Western Asia,Developing
Bangladesh,Southern Asia,Developing
Barbados,Latin America & the Caribbean,Developing
Belarus,Developed,DEVELOPED
Belgium,Developed,DEVELOPED
Benin,Sub-Saharan Africa,Developing
Bermuda,Developed,DEVELOPED
Bhutan,Southern Asia,Developing
Venezuela (Bolivarian Republic of),Latin America & the Caribbean,Developing
Bolivia (Plurinational State of),Latin America & the Caribbean,Developing
Bosnia and Herzegovina,Developed,DEVELOPED
Brazil,Latin America & the Caribbean,Developing
British Virgin Islands,Latin America & the Caribbean,Developing
Brunei Darussalam,South-eastern Asia,Developing
Bulgaria,Developed,DEVELOPED
Burkina Faso,Sub-Saharan Africa,Developing
Burundi,Sub-Saharan Africa,Developing
Cambodia,South-eastern Asia,Developing
Cameroon,Sub-Saharan Africa,Developing
Canada,Developed,DEVELOPED
Cape Verde,Sub-Saharan Africa,Developing
Cayman Islands,Latin America & the Caribbean,Developing
Central African Republic,Sub-Saharan Africa,Developing
Chad,Sub-Saharan Africa,Developing
Channel Islands,Developed,DEVELOPED
Croatia,Developed,DEVELOPED
Chile,Latin America & the Caribbean,Developing
China,Eastern Asia,Developing
Colombia,Latin America & the Caribbean,Developing
Comoros,Sub-Saharan Africa,Developing
Congo,Sub-Saharan Africa,Developing
"Cook Is,",Oceania,Developing
Fiji,Oceania,Developing
C“te d'Ivoire,Sub-Saharan Africa,Developing
Cuba,Latin America & the Caribbean,Developing
Cyprus,Western Asia,Developing
Czech Republic,Developed,DEVELOPED
Dem Rep of the Congo,Sub-Saharan Africa,Developing
Denmark,Developed,DEVELOPED
Djibouti,Sub-Saharan Africa,Developing
Equatorial Guinea,Sub-Saharan Africa,Developing
Dominica,Latin America & the Caribbean,Developing
Dominican Republic,Latin America & the Caribbean,Developing
Egypt,Northern Africa,Developing
El Salvador,Latin America & the Caribbean,Developing
Eritrea,Sub-Saharan Africa,Developing
Estonia,Developed,DEVELOPED
Ethiopia,Sub-Saharan Africa,Developing
Faeroe Islands,Developed,DEVELOPED
Falkland Is (Malvinas),Latin America & the Caribbean,Developing
Finland,Developed,DEVELOPED
France,Developed,DEVELOPED
French Guiana,Latin America & the Caribbean,Developing
French Polynesia,Oceania,Developing
Gabon,Sub-Saharan Africa,Developing
Gambia,Sub-Saharan Africa,Developing
Georgia,Caucasus and central Asia,Developing
Germany,Developed,DEVELOPED
Ghana,Sub-Saharan Africa,Developing
Greece,Developed,DEVELOPED
Greenland,Developed,DEVELOPED
Grenada,Latin America & the Caribbean,Developing
Guadeloupe,Latin America & the Caribbean,Developing
Guam,Oceania,Developing
Guatemala,Latin America & the Caribbean,Developing
Guinea,Sub-Saharan Africa,Developing
Guinea-Bissau,Sub-Saharan Africa,Developing
Guyana,Latin America & the Caribbean,Developing
Haiti,Latin America & the Caribbean,Developing
Honduras,Latin America & the Caribbean,Developing
Hungary,Developed,DEVELOPED
Iceland,Developed,DEVELOPED
India,Southern Asia,Developing
Indonesia,South-eastern Asia,Developing
Iran (Islamic Republic of),Southern Asia,Developing
Iraq,Western Asia,Developing
Ireland,Developed,DEVELOPED
Isle of Man,Developed,DEVELOPED
Israel,Developed,DEVELOPED
Italy,Developed,DEVELOPED
Jamaica,Latin America & the Caribbean,Developing
Japan,Developed,DEVELOPED
Jordan,Western Asia,Developing
Kazakhstan,Caucasus and central Asia,Developing
Kenya,Sub-Saharan Africa,Developing
Kiribati,Oceania,Developing
Kuwait,Western Asia,Developing
Kyrgyzstan,Caucasus and central Asia,Developing
Lao People's Democratic Republic,South-eastern Asia,Developing
Latvia,Developed,DEVELOPED
Lebanon,Western Asia,Developing
Lesotho,Sub-Saharan Africa,Developing
Liberia,Sub-Saharan Africa,Developing
Libyan Arab Jamahiriya,Northern Africa,Developing
Liechtenstein,Developed,DEVELOPED
Lithuania,Developed,DEVELOPED
Luxembourg,Developed,DEVELOPED
Madagascar,Sub-Saharan Africa,Developing
Malawi,Sub-Saharan Africa,Developing
Malaysia,South-eastern Asia,Developing
Maldives,Southern Asia,Developing
Mali,Sub-Saharan Africa,Developing
Malta,Developed,DEVELOPED
Marshall Islands,Oceania,Developing
Martinique,Latin America & the Caribbean,Developing
Mauritania,Sub-Saharan Africa,Developing
Mauritius,Sub-Saharan Africa,Developing
Mayotte,Sub-Saharan Africa,Developing
Mexico,Latin America & the Caribbean,Developing
Micronesia (Fed States of),Oceania,Developing
Monaco,Developed,DEVELOPED
Mongolia,Eastern Asia,Developing
Montserrat,Latin America & the Caribbean,Developing
Morocco,Northern Africa,Developing
Mozambique,Sub-Saharan Africa,Developing
Myanmar,South-eastern Asia,Developing
Namibia,Sub-Saharan Africa,Developing
Nauru,Oceania,Developing
Nepal,Southern Asia,Developing
Netherlands Antilles,Latin America & the Caribbean,Developing
Netherlands,Developed,DEVELOPED
New Caledonia,Oceania,Developing
New Zealand,Developed,DEVELOPED
Nicaragua,Latin America & the Caribbean,Developing
Niger,Sub-Saharan Africa,Developing
Nigeria,Sub-Saharan Africa,Developing
Niue,Oceania,Developing
Northern Mariana Is,Oceania,Developing
Norway,Developed,DEVELOPED
Occupied Palestinian Territory,Western Asia,Developing
Oman,Western Asia,Developing
Pakistan,Southern Asia,Developing
Palau,Oceania,Developing
Panama,Latin America & the Caribbean,Developing
Papua New Guinea,Oceania,Developing
Paraguay,Latin America & the Caribbean,Developing
Peru,Latin America & the Caribbean,Developing
Philippines,South-eastern Asia,Developing
Poland,Developed,DEVELOPED
Portugal,Developed,DEVELOPED
Puerto Rico,Latin America & the Caribbean,Developing
Qatar,Western Asia,Developing
Republic of Korea,Eastern Asia,Developing
Republic of Moldova,Developed,DEVELOPED
R‚union,Sub-Saharan Africa,Developing
Romania,Developed,DEVELOPED
Russian Federation,Developed,DEVELOPED
Rwanda,Sub-Saharan Africa,Developing
Saint Kitts and Nevis,Latin America & the Caribbean,Developing
Saint Lucia,Latin America & the Caribbean,Developing
Samoa,Oceania,Developing
San Marino,Developed,DEVELOPED
Sao Tome and Principe,Sub-Saharan Africa,Developing
Saudi Arabia,Western Asia,Developing
Senegal,Sub-Saharan Africa,Developing
Serbia and Montenegro,Developed,DEVELOPED
Slovakia,Developed,DEVELOPED
Seychelles,Sub-Saharan Africa,Developing
Sierra Leone,Sub-Saharan Africa,Developing
Singapore,South-eastern Asia,Developing
Slovenia,Developed,DEVELOPED
Solomon Islands,Oceania,Developing
Somalia,Sub-Saharan Africa,Developing
South Africa,Sub-Saharan Africa,Developing
Spain,Developed,DEVELOPED
Sri Lanka,Southern Asia,Developing
Saint Vincent and the Grenadines,Latin America & the Caribbean,Developing
Sudan,Sub-Saharan Africa,Developing
Suriname,Latin America & the Caribbean,Developing
Swaziland,Sub-Saharan Africa,Developing
Sweden,Developed,DEVELOPED
Switzerland,Developed,DEVELOPED
Syrian Arab Republic,Western Asia,Developing
Tajikistan,Caucasus and central Asia,Developing
The former Yugoslav Republic of Macedonia,Developed,DEVELOPED
Thailand,South-eastern Asia,Developing
Timor-Leste,South-eastern Asia,Developing
Togo,Sub-Saharan Africa,Developing
Tokelau,Oceania,Developing
Tonga,Oceania,Developing
Trinidad and Tobago,Latin America & the Caribbean,Developing
Tunisia,Northern Africa,Developing
Turkey,Western Asia,Developing
Turkmenistan,Caucasus and central Asia,Developing
Turks and Caicos Islands,Latin America & the Caribbean,Developing
Tuvalu,Oceania,Developing
Uganda,Sub-Saharan Africa,Developing
Ukraine,Developed,DEVELOPED
United Arab Emirates,Western Asia,Developing
United Kingdom,Developed,DEVELOPED
United States of America,Developed,DEVELOPED
Uruguay,Latin America & the Caribbean,Developing
US Virgin Islands,Latin America & the Caribbean,Developing
Uzbekistan,Caucasus and central Asia,Developing
Vanuatu,Oceania,Developing
Viet Nam,South-eastern Asia,Developing
Yemen,Western Asia,Developing
Zambia,Sub-Saharan Africa,Developing
Zimbabwe,Sub-Saharan Africa,Developing
